index,brand,title,price
64,联想（lenovo）,"	
【二手9成新】Lenovo 联想",399.00
65,联想（lenovo）,"	
【二手95新】联想（Lenovo）THINKPAD超薄便携商务办公 学习游戏15寸渲染设计",1249.00
66,联想（lenovo）,【新款上市】联想V14 2020款全新商务办公超极本14英寸轻薄便携手提学生本游戏娱乐商用,3499.00
67,联想（lenovo）,联想（Lenovo）台式机擎天T510A-14/天逸510S 商用办公家用游戏台式电脑主机整机 升级510S i3-10100 8G 256G 单主机（含键鼠） 无显示器,2699.00
68,联想（lenovo）,联想新品 Ideapad14S 2020 英特尔酷睿i3 超轻薄,3799.00
69,联想（lenovo）,15.6英寸全面屏超轻薄,5599.00
70,联想（lenovo）,"	
【二手9成新】联想12-14英寸",481.00
71,联想（lenovo）,联想拯救者R7000P 高端八核15.6英寸144Hz电竞屏设计轻薄手提赛博朋克吃鸡游戏,8199.00
72,联想（lenovo）,联想(Lenovo),2799.00
73,联想（lenovo）,联想威6 锐龙六核R5高色域商务学生轻薄高颜值游戏商务,4399.00
74,联想（lenovo）,联想拯救者R7000 锐龙版R5/R7高性能吃鸡游戏本设计师Ps办公轻薄,6899.00
75,联想（lenovo）,联想威6-14英寸酷睿11代i5超轻薄,5499.00
76,联想（lenovo）,联想,3899.00
77,联想（lenovo）,"
联想ideapad14S 2020款10代酷睿14英寸轻薄家用办公学生网课学习手提小新",3999.00
78,联想（lenovo）,联想拯救者R7000P 2020电竞游戏,8688.00
79,联想（lenovo）,【2021款】联想威6 14英寸锐龙八核R7超薄本高性能设计商务办公学生全面屏游戏轻薄手提,5399.00
80,联想（lenovo）,联想拯救者Y9000X 2021/2020金属超轻薄游戏,6869.00
81,联想（lenovo）,"	
【二手9成新】联想/Lenovo/",688.80
82,联想（lenovo）,联想小新14性能版 2020款十代酷睿i5全面屏超轻薄办公设计高性能手提,5399.00
83,联想（lenovo）,"	
【二手95新】联想（Lenovo）THINKPAD超薄便携商务办公 学习游戏15寸渲染设计",1799.00
84,联想（lenovo）,联想小新air15 2021款15.6酷睿11代i5/i7高色域MX450游戏级独显金属,5999.00
85,联想（lenovo）,联想小新Air15 2021款11代酷睿MX450独显高性能轻薄本15.6英寸高色域全面屏,6199.00
86,联想（lenovo）,联想小新Air14 2021款 金属超轻薄,5089.00
87,联想（lenovo）,联想（Lenovo）V15 15.6英寸锐龙R3超轻薄高性能商务办公游戏学生网课手提,3199.00
88,联想（lenovo）,联想（Lenovo）,3199.00
89,联想（lenovo）,联想（Lenovo）IdeaPad14s 增强版2020酷睿i3轻薄本商务办公学生手提超薄,4099.00
90,联想（lenovo）,联想拯救者R7000P 15.6英寸144Hz游戏,8099.00
91,联想（lenovo）,联想IdeaPad15s 15.6英寸十一代酷睿i5轻薄,5099.00
92,联想（lenovo）,联想,3899.00
93,联想（lenovo）,联想新品IdeaPad14s 2021款 11代英特尔酷睿i5 14英寸 i3高性能轻薄,3649.00
94,联想（lenovo）,联想威6 2021款15.6英寸十一代酷睿i5/i7超薄本游戏商务办公全面屏学生轻薄手提,8199.00
95,联想（lenovo）,联想小新Pro14 2021款全新i5 超轻薄游戏,6999.00
96,联想（lenovo）,"	
【二手95新】联想（Lenovo）THINKPAD超薄便携商务办公 学习游戏15寸渲染设计",1499.00
97,联想（lenovo）,联想（Lenovo） ThinkStation P320大机箱 工作站 台式机 联想台式机 定制 E3-1230V6 3.5G（无集显）四核 16G内存丨256G+1T硬盘丨P600,9999.00
98,联想（lenovo）,【新款上市】联想V14 2020款全新商务办公超极本14英寸轻薄便携手提学生本游戏娱乐商用,3299.00
99,联想（lenovo）,联想拯救者R7000 游戏本P高性能商务办公大学生设计师电竞吃鸡手提,6799.00
100,联想（lenovo）,联想（Lenovo）昭阳E41-55轻薄,2699.00
101,联想（lenovo）,"	
联想小新Air14 2021锐龙R5(全新7nm)六核超轻薄",4599.00
102,联想（lenovo）,联想拯救者R7000 锐龙版R5/R7高性能吃鸡游戏本设计师Ps办公轻薄,6399.00
103,联想（lenovo）,联想thinkpad L15 15.6英寸轻薄商务办公,8299.00
104,联想（lenovo）,联想,3749.00
105,联想（lenovo）,联想(Lenovo)YogaDuet酷睿10代i5 13英寸二合一平板,6799.00
106,联想（lenovo）,联想(Lenovo)YOGA 13s 2021款 13.3英寸全面屏超轻薄,5868.00
107,联想（lenovo）,联想,5499.00
108,联想（lenovo）,联想(Lenovo)IdeaPad14s酷睿i3轻薄学生商务办公,3549.00
109,联想（lenovo）,联想（Lenovo）S540,5169.00
110,联想（lenovo）,联想拯救者R7000 15.6英寸2020锐龙电竞游戏本 高性能办公设计吃鸡,6099.00
111,联想（lenovo）,联想小新Air14 2021款11代酷睿i5超轻薄手提,6299.00
112,联想（lenovo）,【2021款】联想（Lenovo）威6 十一代酷睿i5 15.6英寸窄边框办公游戏轻薄手提,5399.00
113,联想（lenovo）,联想拯救者r7000 p图设计锐龙R5/R7游戏本 2020款设计本学生用高色域全面屏,6899.00
114,联想（lenovo）,旗舰版锐龙,5189.00
115,联想（lenovo）,联想,3699.00
116,联想（lenovo）,联想小新15 2020新品15.6英寸（全新7nm）锐龙R7轻薄,4449.00
117,联想（lenovo）,联想,4499.00
118,联想（lenovo）,联想威6 2021款十一代酷睿i3/i5 14英寸轻薄高性能超薄本网课商务办公学生手提,4299.00
119,联想（lenovo）,联想小新15新品八核锐龙版r7高性能15.6英寸全面大屏设计办公学生网课游戏轻薄,5899.00
